date,open,low,high,close,volume
2014-08-25,"6,501","6,476","6,669","6,476",4.03736303
2014-08-26,"6,475","6,459.5","6,649","6,552",3.75419206
2014-08-27,"6,649","6,555.25","6,750","6,645",11.07420208
2014-08-28,"6,612","6,542","6,750","6,682",6.32996598
2014-08-29,"6,682","6,605.01","6,748","6,656",10.63290651
2014-08-30,"6,738","6,618","6,742","6,618",5.91228449
2014-08-31,"6,610","6,431","6,630","6,431",6.11414736
2014-09-01,"6,345.01","6,285","6,431","6,310",7.82500019
2014-09-02,"6,286","6,286","6,495","6,489",8.34353073
2014-09-03,"6,475","6,308.75","6,475","6,316",11.5038243
2014-09-04,"6,348","6,305","6,469","6,469",7.9373216
2014-09-05,"6,469","6,329","6,469","6,329",4.6051632
2014-09-06,"6,324.5","6,319.01","6,349","6,349",4.5091
2014-09-07,"6,319","6,280","6,335","6,315",4.41243888
2014-09-08,"6,269.02","6,150","6,395","6,295",9.39771234
2014-09-09,"6,160","6,105","6,219","6,215",5.1226771
2014-09-10,"6,152","6,150","6,459","6,455",6.58307126
2014-09-11,"6,330","6,240","6,459","6,375",6.9706645
2014-09-12,"6,275","6,130","6,378","6,356",8.64500398
2014-09-13,"6,345","6,160","6,361","6,361",3.36307064
2014-09-14,"6,378","6,378","6,400","6,400",1.28181192
2014-09-15,"6,225","6,208","6,400","6,210",3.47250437
2014-09-16,"6,356","6,195","6,356","6,240",8.30067132
2014-09-17,"6,240","6,050","6,470","6,150",9.76753633
2014-09-18,"5,999","5,725","6,150","5,945",9.46080097
2014-09-19,"5,780.08","5,155","5,780.08","5,295",11.82736236
2014-09-20,"5,295","5,295","5,395","5,394",1.50437686
2014-09-21,"5,250","5,110","5,400","5,365",5.40796642
2014-09-22,"5,192","5,160","5,375","5,218.25",7.19662704
2014-09-23,"5,225","5,032","5,623","5,623",17.7028201
2014-09-24,"5,622.5","5,514","5,672","5,600",8.5408022
2014-09-25,"5,600","5,356.98","5,600","5,559.99",14.99179146
2014-09-26,"5,559.99","5,292","5,559.99","5,392",17.73999266
2014-09-27,"5,395","5,325.1","5,409","5,405",1.18459066
2014-09-28,"5,405","5,027","5,409","5,212.5",5.10092727
2014-09-29,"5,212.5","4,925","5,212.5","5,111",8.25609157
2014-09-30,"5,000.35","4,925","5,142","5,141.9",8.69016546
2014-10-01,"5,141.9","4,886","5,198.95","5,198.95",13.04634826
2014-10-02,"5,185","4,905","5,190","4,905",12.68634876
2014-10-03,"4,912","4,769","4,985","4,925",18.81033853
2014-10-04,"4,780","4,590.1","4,925","4,590.1",4.55284873
2014-10-05,"4,590.1","3,975","4,590.1","3,980",2.97293832
2014-10-06,"4,350","4,201","4,699","4,699",13.04025808
2014-10-07,"4,699","4,398.04","4,758","4,500.25",15.98419505
2014-10-08,"4,500","4,500","4,868","4,868",15.88109662
